2453755.500000000, A.D. 2006-Jan-20 00:00:00.0000, -4.885668682172510E-01,  8.541512125247905E-01,  1.165011346557786E-05, -2.155488459027918E-02, -1.228932883519473E-02,  3.738220209383381E-04,
2453756.500000000, A.D. 2006-Jan-21 00:00:00.0000, -5.099923062075719E-01,  8.417611580449588E-01,  3.835561479565320E-04, -2.133233789011947E-02, -1.251229964724944E-02,  3.711436963476304E-04,
2453757.500000000, A.D. 2006-Jan-22 00:00:00.0000, -5.312409184868617E-01,  8.291209725714414E-01,  7.544322231605361E-04, -2.116511668604058E-02, -1.276810391989114E-02,  3.706530770163557E-04,
2453758.500000000, A.D. 2006-Jan-23 00:00:00.0000, -5.523213887098148E-01,  8.162259085764024E-01,  1.124880139238867E-03, -2.099527936981266E-02, -1.302153633115047E-02,  3.702427986967572E-04,
2453759.500000000, A.D. 2006-Jan-24 00:00:00.0000, -5.732295676588344E-01,  8.030794567521137E-01,  1.494893572931130E-03, -2.082048049936723E-02, -1.327077971836124E-02,  3.697758518159978E-04,
2453760.500000000, A.D. 2006-Jan-25 00:00:00.0000, -5.939602706289665E-01,  7.896861554472930E-01,  1.864396825679766E-03, -2.064039360990292E-02, -1.351521000303076E-02,  3.692210105890973E-04,
2453761.500000000, A.D. 2006-Jan-26 00:00:00.0000, -6.145082277606192E-01,  7.760510214295088E-01,  2.233296187702716E-03, -2.045508399610175E-02, -1.375444411969685E-02,  3.685685511001440E-04,
2453762.500000000, A.D. 2006-Jan-27 00:00:00.0000, -6.348683104128804E-01,  7.621794051564675E-01,  2.601492031723015E-03, -2.026475216750341E-02, -1.398818366092030E-02,  3.678150250991569E-04,
2453763.500000000, A.D. 2006-Jan-28 00:00:00.0000, -6.550356219974237E-01,  7.480769301337975E-01,  2.968882946845316E-03, -2.006965617448678E-02, -1.421617855872731E-02,  3.669599679609088E-04,
2453764.500000000, A.D. 2006-Jan-29 00:00:00.0000, -6.750051511000031E-01,  7.337491885081677E-01,  3.335637575882908E-03, -1.986813241520468E-02, -1.443953329607318E-02,  3.673540365235262E-04,
2453765.500000000, A.D. 2006-Jan-30 00:00:00.0000, -6.947713998168666E-01,  7.192014463563041E-01,  3.702465654164020E-03, -1.966437458102426E-02, -1.465541314285504E-02,  3.662985244941423E-04,
2453766.500000000, A.D. 2006-Jan-31 00:00:00.0000, -7.143308812072181E-01,  7.044402982296761E-01,  4.068898941416173E-03, -1.945158312295757E-02, -1.486851782455262E-02,  3.687394639485898E-04,
2453767.500000000, A.D. 2006-Feb-01 00:00:00.0000, -7.336767657526244E-01,  6.894699875642729E-01,  4.437015544712317E-03, -1.924041703521938E-02, -1.507163384709596E-02,  3.674926114813340E-04,
2453768.500000000, A.D. 2006-Feb-02 00:00:00.0000, -7.528098211778322E-01,  6.742998627904763E-01,  4.803839144383744E-03, -1.902603569425558E-02, -1.526818871454142E-02,  3.661559462318791E-04,
2453769.500000000, A.D. 2006-Feb-03 00:00:00.0000, -7.717269982281662E-01,  6.589365333097438E-01,  5.169281129921245E-03, -1.880876682357996E-02, -1.545808901085205E-02,  3.647307364277391E-04,
2453770.500000000, A.D. 2006-Feb-04 00:00:00.0000, -7.904255754557856E-01,  6.433866901759577E-01,  5.533255048712311E-03, -1.858894103121048E-02, -1.564126516460409E-02,  3.632219282404490E-04,
2453771.500000000, A.D. 2006-Feb-05 00:00:00.0000, -8.089031604224729E-01,  6.276570827796388E-01,  5.895679117972855E-03, -1.836688355441059E-02, -1.581767040733761E-02,  3.616327595397681E-04,
2453772.500000000, A.D. 2006-Feb-06 00:00:00.0000, -8.271576842100166E-01,  6.117544966955691E-01,  6.256474977906173E-03, -1.814291652746688E-02, -1.598727866464724E-02,  3.599672142292632E-04,
2453773.500000000, A.D. 2006-Feb-07 00:00:00.0000, -8.451873970183169E-01,  5.956857331404395E-01,  6.615568310258359E-03, -1.791735477257844E-02, -1.615008523345357E-02,  3.582294145739045E-04,
2453774.500000000, A.D. 2006-Feb-08 00:00:00.0000, -8.629908600460625E-01,  5.794575876455104E-01,  6.972889023524986E-03, -1.769050957244330E-02, -1.630610222816649E-02,  3.564235570631556E-04,
2453775.500000000, A.D. 2006-Feb-09 00:00:00.0000, -8.805669446415633E-01,  5.630768378203487E-01,  7.328371030153017E-03, -1.746268303850999E-02, -1.645535933541099E-02,  3.545536614188253E-04,
2453776.500000000, A.D. 2006-Feb-10 00:00:00.0000, -8.979148155639702E-01,  5.465502185053163E-01,  7.681952817130329E-03, -1.723416414855078E-02, -1.659790741193665E-02,  3.526247785849953E-04,
2453777.500000000, A.D. 2006-Feb-11 00:00:00.0000, -9.150339234010679E-01,  5.298844084243127E-01,  8.033577176550349E-03, -1.700523564292635E-02, -1.673380858188829E-02,  3.506400239001639E-04,
2453778.500000000, A.D. 2006-Feb-12 00:00:00.0000, -9.319239973181704E-01,  5.130860163981366E-01,  8.383189865020148E-03, -1.677616929456315E-02, -1.686314110119630E-02,  3.486031690967321E-04,
2453779.500000000, A.D. 2006-Feb-13 00:00:00.0000, -9.485850298629324E-01,  4.961615652158960E-01,  8.730741266782468E-03, -1.654722210197491E-02, -1.698599757143492E-02,  3.465188949543911E-04,
2453780.500000000, A.D. 2006-Feb-14 00:00:00.0000, -9.650172654904026E-01,  4.791174794237235E-01,  9.076185996868640E-03, -1.631864026862413E-02, -1.710248190563092E-02,  3.443912195455990E-04,
